438 >expected=12.560000, predicted=12.541752
439 >expected=12.550000, predicted=12.628039
440 >expected=12.780000, predicted=12.683893
441 >expected=12.830000, predicted=13.053543
442 >expected=13.000000, predicted=12.899139
443 >expected=12.810000, predicted=12.921944
444 >expected=13.320000, predicted=13.167182
445 >expected=13.490000, predicted=13.311952
446 >expected=13.560000, predicted=13.694014
447 >expected=13.390000, predicted=13.743236
448 >expected=13.210000, predicted=13.249127
449 >expected=12.860000, predicted=12.860220
450 >expected=13.180000, predicted=13.257334
451 >expected=13.660000, predicted=13.670873
452 >expected=13.530000, predicted=13.676117
453 >expected=13.350000, predicted=13.697806
454 >expected=13.320000, predicted=13.294774
455 >expected=14.300000, predicted=13.908465
456 >expected=14.420000, predicted=14.525175
457 >expected=14.460000, predicted=14.409708
458 >expected=14.410000, predicted=14.473475
459 >expected=14.740000, predicted=14.657548
460 >expected=14.700000, predicted=15.055019
461 >expected=14.900000, predicted=14.974565
462 >expected=14.610000, predicted=14.730592
463 >expected=15.220000, predicted=14.832438
464 >expected=14.710000, predicted=14.929951
465 >expected=14.620000, predicted=14.642157
466 >expected=14.800000, predicted=14.621758
467 >expected=14.730000, predicted=14.743350
468 >expected=14.640000, predicted=14.681047
469 >expected=14.200000, predicted=14.411981
470 >expected=14.430000, predicted=14.361299
471 >expected=14.050000, predicted=14.123626
472 >expected=14.060000, predicted=13.980827
473 >expected=13.950000, predicted=13.927779
474 >expected=14.640000, predicted=14.456763
475 >expected=14.610000, predicted=14.688578
476 >expected=14.930000, predicted=14.874524
477 >expected=14.740000, predicted=14.891706
478 >expected=14.730000, predicted=14.772672
479 >expected=14.180000, predicted=14.327196
480 >expected=14.360000, predicted=14.361281
481 >expected=14.080000, predicted=14.057011
482 >expected=13.930000, predicted=13.714124
483 >expected=14.250000, predicted=14.460360
484 >expected=14.560000, predicted=14.525876
485 >expected=14.450000, predicted=14.403637
486 >expected=14.590000, predicted=14.459748
487 >expected=14.710000, predicted=14.486147
488 >expected=14.600000, predicted=14.634767
489 >expected=14.610000, predicted=14.840627
490 >expected=15.170000, predicted=15.117436
491 >expected=15.100000, predicted=14.884628
492 >expected=14.990000, predicted=15.104709
493 >expected=14.950000, predicted=14.806200
494 >expected=14.600000, predicted=14.699742
495 >expected=14.720000, predicted=14.817951
496 >expected=14.900000, predicted=14.899590
497 >expected=14.740000, predicted=14.832689
498 >expected=14.770000, predicted=14.662634
499 >expected=14.870000, predicted=15.106643
500 >expected=14.710000, predicted=14.828682
501 >expected=14.630000, predicted=14.662706
502 >expected=14.490000, predicted=14.435573
503 >expected=14.300000, predicted=14.438825
504 >expected=14.270000, predicted=14.215932
505 >expected=14.200000, predicted=14.166707
506 >expected=14.110000, predicted=14.108565
507 >expected=14.020000, predicted=13.959215
508 >expected=13.810000, predicted=13.936598
509 >expected=13.430000, predicted=13.658152
510 >expected=13.660000, predicted=13.735124
511 >expected=13.480000, predicted=13.397407
512 >expected=13.860000, predicted=13.798978
513 >expected=14.200000, predicted=13.999272
514 >expected=13.690000, predicted=13.810500
515 >expected=13.490000, predicted=13.571956
516 >expected=13.530000, predicted=13.365554
517 >expected=13.570000, predicted=13.547991
518 >expected=13.220000, predicted=13.346411
519 >expected=12.930000, predicted=13.013407
520 >expected=12.980000, predicted=12.839199
521 >expected=13.060000, predicted=13.104651
522 >expected=12.770000, predicted=12.731926
523 >expected=12.540000, predicted=12.715244
524 >expected=12.540000, predicted=12.553535
525 >expected=12.910000, predicted=12.789144
526 >expected=13.160000, predicted=13.013616
527 >expected=13.210000, predicted=13.268100
528 >expected=13.300000, predicted=13.123228
529 >expected=13.200000, predicted=13.308682
530 >expected=13.080000, predicted=13.136595
531 >expected=12.920000, predicted=12.876916
532 >expected=13.130000, predicted=13.126637
533 >expected=12.590000, predicted=12.764515
534 >expected=12.330000, predicted=12.525194
535 >expected=12.340000, predicted=12.482287
536 >expected=12.070000, predicted=12.077146
537 >expected=12.030000, predicted=12.102169
538 >expected=12.210000, predicted=12.113353
539 >expected=12.290000, predicted=12.248289
540 >expected=12.000000, predicted=12.114917
541 >expected=11.490000, predicted=11.517340
542 >expected=11.860000, predicted=11.664390
543 >expected=11.730000, predicted=11.765684
544 >expected=11.840000, predicted=11.564511
545 >expected=11.780000, predicted=11.754569
546 >expected=12.050000, predicted=12.004262
547 >expected=12.030000, predicted=11.985841
548 >expected=11.600000, predicted=11.787679
549 >expected=11.740000, predicted=11.753907
550 >expected=11.270000, predicted=11.455367
551 >expected=11.130000, predicted=11.117758
552 >expected=11.000000, predicted=11.064308
553 >expected=11.150000, predicted=11.053415
554 >expected=11.310000, predicted=11.121661
555 >expected=11.600000, predicted=11.537448
556 >expected=11.540000, predicted=11.778066
557 >expected=11.730000, predicted=11.570194
558 >expected=11.200000, predicted=11.415157
559 >expected=11.080000, predicted=11.131921
560 >expected=11.100000, predicted=11.094045
561 >expected=11.550000, predicted=11.549394
562 >expected=12.210000, predicted=12.039855
563 >expected=12.240000, predicted=12.309505
564 >expected=12.460000, predicted=12.384888
565 >expected=12.470000, predicted=12.391942
566 >expected=12.360000, predicted=12.540254
